process_data_ms,total_processing_ms,full_loop_ms,total time,accuracy
9.465,5.031,4.408,39.011,0.000
14.270,6.877,5.893,32.380,0.000
14.024,5.777,6.192,34.601,0.000
12.767,7.066,7.718,43.692,0.000
12.553,5.430,4.675,41.067,0.000
14.779,4.848,3.744,40.354,0.000
16.709,4.797,3.614,41.086,0.000
17.413,4.881,4.325,41.204,0.000
16.007,6.572,3.369,40.044,0.000
13.787,8.121,4.295,39.851,0.000
12.887,6.049,4.287,39.992,0.000
18.101,7.101,6.148,42.319,0.000
25.609,11.868,4.865,53.115,0.000
18.445,4.735,4.390,68.961,0.000
16.618,4.829,3.949,46.082,0.000
11.035,7.902,3.205,42.088,0.000
13.638,6.391,6.696,39.622,0.000
14.844,6.222,4.764,40.977,0.000
15.349,5.412,3.158,43.081,0.000
15.159,7.121,3.505,39.459,0.000
19.328,6.559,6.546,43.526,0.000
17.734,5.092,3.530,50.123,0.000
9.265,5.282,3.250,37.453,0.000
9.439,7.391,2.936,28.910,0.000
10.208,5.584,3.713,37.081,0.000
9.192,4.825,3.213,34.600,0.000
13.284,5.553,5.093,28.046,0.000
11.041,5.627,5.867,31.302,0.000
15.044,7.062,3.929,31.565,0.000
10.918,5.086,3.081,38.106,0.000
12.524,4.745,3.342,34.376,0.000
9.899,5.860,5.387,33.498,0.000
13.661,9.903,7.923,29.408,0.000
9.475,5.024,2.698,40.053,0.000
15.279,6.168,8.976,30.169,0.000
13.193,7.954,5.484,39.864,0.000
18.134,7.498,5.251,39.335,0.000
17.735,5.523,4.452,43.208,0.000
16.608,4.611,2.772,38.005,0.000
16.622,5.387,3.717,38.422,0.000
15.445,7.589,3.132,42.176,0.000
20.111,6.110,5.994,40.426,0.000
16.355,7.241,2.839,43.238,0.000
17.357,5.704,3.820,36.484,0.000
23.735,8.584,3.291,39.279,0.000
20.894,6.125,5.150,59.836,0.000
15.963,5.922,3.748,39.944,0.000
12.522,7.420,3.455,35.839,0.000
12.406,6.107,3.615,31.976,0.000
13.124,5.045,3.758,32.080,0.000
10.284,5.502,2.936,32.034,0.000
12.161,5.190,2.533,31.856,0.000
16.672,4.943,2.851,31.849,0.000
15.045,6.925,3.349,36.217,0.000
18.398,9.892,4.107,35.809,0.000
17.921,7.163,3.554,43.769,0.000
10.559,5.857,5.547,39.077,0.000
12.932,5.430,3.230,39.825,0.000
18.887,6.059,4.161,38.381,0.000
17.929,6.853,8.338,44.368,0.000
17.816,4.809,3.416,42.754,0.000
11.692,5.467,4.746,36.191,0.000
9.568,5.429,9.113,36.724,0.000
11.464,4.961,6.577,36.083,0.000
10.164,6.167,5.899,35.776,0.000
17.116,5.787,5.906,39.890,0.000
19.781,10.381,9.515,38.663,0.000
10.969,7.626,6.671,59.339,0.000
18.518,9.053,5.099,36.706,0.000
11.482,7.746,3.979,42.493,0.000
13.659,6.073,7.788,38.489,0.000
11.051,7.983,7.620,41.979,0.000
11.651,6.576,8.464,42.312,0.000
13.650,4.640,6.692,41.919,0.000
17.930,4.739,7.027,40.014,0.000
13.589,4.785,4.366,41.056,0.000
22.819,5.023,4.137,39.001,0.000
17.506,5.731,5.473,46.878,0.000
12.415,4.860,7.909,44.724,0.000
18.437,6.617,6.460,43.719,0.000
15.742,5.339,3.885,44.538,0.000
16.166,5.080,9.134,38.289,0.000
10.881,4.839,8.802,43.938,0.000
12.128,7.948,5.549,48.918,0.000
12.756,4.930,6.731,46.589,0.000
14.261,4.931,5.416,44.003,0.000
21.832,5.711,4.213,48.574,0.000
12.661,5.085,2.428,45.648,0.000
19.996,5.384,2.599,43.115,0.000
15.939,4.930,3.314,41.319,0.000
14.010,5.860,4.989,43.345,0.000
9.726,5.901,6.577,40.389,0.000
11.282,6.444,2.344,42.900,0.000
9.736,7.413,2.863,32.001,0.000
12.374,6.580,4.228,30.047,0.000
8.279,5.461,3.010,31.542,0.000
11.554,5.917,2.737,26.878,0.000
16.218,5.387,2.355,29.300,0.000
10.886,4.865,2.174,34.447,0.000
10.552,5.584,3.942,31.617,0.000
11.785,6.516,7.782,30.895,0.000
13.432,4.903,2.383,33.720,0.000
8.545,5.891,2.451,30.552,0.000
9.868,7.189,3.658,24.361,0.000
8.716,5.501,4.723,28.849,0.000
8.675,5.406,3.334,27.600,0.000
12.530,4.958,3.330,28.001,0.000
12.131,4.941,2.421,28.413,0.000
18.277,5.532,5.472,29.989,0.000
9.273,6.296,2.768,41.403,0.000
15.320,9.310,7.255,31.426,0.000
17.648,5.503,2.439,45.801,0.000
20.005,6.410,2.836,45.249,0.000
14.763,7.097,3.498,44.458,0.000
13.735,9.787,2.940,39.942,0.000
14.380,6.313,2.723,41.706,0.000
11.110,4.789,2.565,38.820,0.000
10.470,5.846,4.491,35.640,0.000
19.034,5.610,2.637,34.322,0.000
14.834,8.051,2.655,44.858,0.000
17.265,8.198,3.478,45.366,0.000
7.701,5.832,2.059,50.151,0.000
8.386,5.810,3.978,30.794,0.000
15.405,5.358,4.457,36.005,0.000
16.218,5.020,2.417,35.084,0.000
15.586,4.808,2.532,34.297,0.000
18.603,4.943,2.091,38.764,0.000
18.426,5.314,3.613,40.514,0.000
14.662,5.440,4.639,46.070,0.000
22.022,6.023,5.255,43.419,0.000
16.156,8.100,6.503,54.759,1.000
24.989,11.830,8.110,53.453,1.000
28.416,8.758,6.794,67.542,1.000
21.588,9.527,4.753,78.616,1.000
15.060,8.634,3.697,70.011,1.000
22.761,8.713,17.173,56.852,1.000
44.065,6.159,4.568,83.555,1.000
14.569,12.927,8.964,78.495,1.000
22.339,6.084,2.752,65.820,1.000
45.161,6.377,5.086,50.075,1.000
14.778,4.752,3.740,75.695,1.000
53.256,10.669,6.690,43.793,1.000
14.747,7.706,4.647,91.466,1.000
31.175,8.420,2.545,42.616,1.000
9.315,14.304,4.677,68.748,1.000
15.149,10.613,6.694,81.247,1.000
54.059,42.039,20.884,50.515,1.000
12.826,5.012,2.294,128.062,1.000
29.843,6.177,4.280,34.345,1.000
24.484,10.554,9.708,50.647,1.000
16.630,11.227,6.691,57.594,1.000
15.407,5.478,7.126,54.891,1.000
16.308,7.040,8.254,50.719,1.000
18.558,10.563,6.613,50.793,1.000
35.204,12.641,4.307,47.012,1.000
27.133,10.277,1.927,70.694,1.000
11.205,4.567,1.732,71.919,0.000
8.250,7.605,2.436,26.931,0.000
7.411,5.442,5.293,24.915,0.000
10.306,4.430,1.756,25.778,0.000
10.269,4.550,1.837,22.227,0.000
8.084,5.953,3.687,22.623,0.000
7.816,7.442,3.884,23.102,0.000
5.874,5.300,3.124,25.430,0.000
5.985,4.440,1.935,21.026,0.000
9.823,6.922,2.959,18.836,0.000
6.888,8.626,2.106,25.555,0.000
6.889,5.273,7.943,22.575,0.000
6.011,8.048,2.110,25.398,0.000
5.945,4.276,2.339,21.757,0.000
10.420,4.446,2.463,20.720,0.000
7.622,10.815,4.749,23.593,0.000
5.926,7.159,2.052,28.263,0.000
5.842,4.456,2.242,20.114,0.000
8.280,5.273,2.257,18.218,0.000
6.944,8.113,2.141,22.121,0.000
5.907,6.105,5.292,22.372,0.000
5.857,7.265,2.558,22.031,0.000
9.203,5.141,2.191,21.485,0.000
8.589,7.281,3.282,21.845,0.000
8.132,5.045,3.696,26.289,0.000
6.235,5.562,3.450,22.162,0.000
6.770,4.425,2.064,20.288,0.000
10.917,4.636,2.117,19.163,0.000
8.552,5.272,2.993,24.042,0.000
7.703,5.710,2.147,22.316,0.000
9.260,6.150,2.530,20.326,0.000
8.358,4.394,2.320,25.033,0.000
6.809,8.714,2.229,20.781,0.000
13.157,5.973,2.587,22.788,0.000
8.650,6.768,2.511,26.701,0.000
5.941,4.344,1.982,23.149,0.000
6.131,4.899,2.068,17.399,0.000
21.003,6.848,2.437,23.273,0.000
10.326,4.426,1.935,36.128,0.000
7.521,6.002,2.602,38.016,0.000
10.931,8.456,2.627,24.173,0.000
7.276,7.670,2.944,28.707,0.000
15.572,8.260,2.594,23.706,0.000
7.900,7.385,4.251,31.780,0.000
5.836,5.380,3.309,28.570,0.000
7.031,4.535,2.014,23.584,0.000
9.720,5.317,1.908,22.910,0.000
7.418,7.358,5.200,22.641,0.000
5.942,6.526,2.435,25.269,0.000
7.187,5.296,3.407,21.675,0.000
10.769,4.591,2.015,25.567,0.000
9.197,6.706,3.211,24.460,0.000
7.612,5.658,2.011,24.154,0.000
7.157,6.625,2.822,20.256,0.000
7.066,4.624,1.879,22.234,0.000
13.030,7.096,2.477,20.693,0.000
6.796,5.050,2.008,27.403,0.000
7.694,7.125,2.751,19.499,0.000
8.667,5.241,2.465,23.741,0.000
9.678,6.727,2.772,21.903,0.000
8.803,4.989,2.605,24.482,0.000
6.558,6.066,3.087,21.497,0.000
11.277,5.270,2.770,20.673,0.000
9.181,4.586,2.005,25.737,0.000
12.749,4.585,1.862,26.959,0.000
7.527,5.338,2.229,24.608,0.000
8.120,4.612,1.815,20.034,0.000
9.161,5.286,3.042,21.868,0.000
7.495,5.373,2.376,23.064,0.000
7.529,5.081,1.908,20.385,0.000
7.648,4.556,3.575,19.338,0.000
13.638,5.079,3.164,21.229,0.000
10.611,4.575,1.861,27.533,0.000
6.675,6.127,3.030,24.425,0.000
20.742,6.060,2.932,21.544,0.000
10.141,4.497,2.020,40.453,0.000
11.738,5.865,2.120,24.174,0.000
7.470,5.416,2.954,28.512,0.000
8.148,5.318,2.030,22.179,0.000
6.489,5.232,3.253,21.745,0.000
8.872,4.433,2.008,22.161,0.000
8.596,5.087,3.278,20.779,0.000
10.024,8.366,2.588,23.948,0.000
7.561,4.886,2.292,27.750,0.000
8.704,4.442,2.162,24.479,0.000
9.712,5.092,7.872,20.529,0.000
7.285,5.237,2.402,31.411,0.000
8.579,5.449,2.541,21.648,0.000
11.079,4.610,2.679,23.048,0.000
9.007,4.583,2.563,23.799,0.000
15.040,4.697,2.578,24.899,0.000
9.136,7.086,3.708,29.292,0.000
11.063,4.686,2.830,28.911,0.000
11.576,4.965,2.866,28.116,0.000
8.682,6.615,2.509,28.179,0.000
17.381,7.366,3.129,23.637,0.000
9.178,4.976,2.443,34.167,0.000
10.525,6.679,2.544,22.136,0.000
9.539,4.412,2.388,28.899,0.000
15.262,4.480,2.485,21.265,0.000
5.846,4.249,2.632,29.620,0.000
7.730,7.233,6.222,17.305,0.000
8.200,8.233,2.873,29.073,0.000
9.319,5.063,3.827,24.531,0.000
7.442,4.980,3.294,32.806,0.000
11.450,7.520,3.660,22.697,0.000
5.784,4.298,2.687,28.124,0.000
6.990,4.668,3.234,17.655,0.000
8.439,7.385,2.698,21.495,0.000
6.772,7.470,3.416,24.195,0.000
5.959,5.492,2.779,28.231,0.000
6.889,6.759,2.973,20.238,0.000
7.912,4.353,2.409,23.597,0.000
6.995,11.596,14.569,20.329,0.000
8.619,13.861,8.254,38.600,0.000
9.481,5.887,4.263,35.448,0.000
6.675,4.544,2.399,34.323,0.000
8.473,4.957,2.693,18.702,0.000
7.496,4.936,3.551,23.787,0.000
10.226,21.385,9.246,20.559,0.000
9.602,15.126,6.161,45.762,0.000
10.188,5.775,3.968,37.051,0.000
6.350,5.203,3.326,37.718,0.000
6.389,5.704,2.833,20.108,0.000
5.931,4.938,3.065,19.951,0.000
6.347,4.728,3.164,19.123,0.000
7.306,10.409,2.723,19.759,0.000
10.568,4.990,2.782,25.769,0.000
5.900,5.092,2.559,27.312,0.000
6.040,4.333,2.986,19.284,0.000
12.436,9.614,3.436,20.059,0.000
8.777,4.849,6.146,31.397,0.000
9.007,4.370,3.535,24.926,0.000
5.923,4.254,2.836,22.068,0.000
5.923,4.264,2.634,17.581,0.000
8.154,4.320,2.937,17.388,0.000
11.659,7.648,3.604,20.597,0.000
10.659,7.181,2.873,27.749,0.000
8.488,4.397,2.701,29.486,0.000
