process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
12.501,7.643,3.228,46.948,0
12.965,6.793,4.944,42.444,0
14.185,4.478,3.934,32.557,0
11.078,7.455,2.854,29.062,0
9.335,4.964,3.656,27.21,0
11.972,4.58,3.187,26.507,0
10.831,5.915,2.621,28.799,0
13.142,6.052,8.379,27.44,0
9.713,4.784,2.77,33.464,0
8.385,4.229,3.389,23.69,0
11.487,4.787,3.55,22.76,0
13.808,4.562,3.153,26.781,0
21.877,7.545,5.669,29.228,0
22.201,5.096,4.211,46.646,0
24.569,4.67,2.495,37.41,0
10.152,7.817,5.891,39.122,0
10.735,5.127,3.386,31.505,0
12.006,6.228,4.496,27.239,0
19.006,4.662,4.117,32.533,0
14.06,7.122,4.234,34.541,0
9.712,7.013,2.42,31.348,0
10.087,4.484,4.083,24.541,0
14.167,5.265,2.911,25.513,0
18.076,5.766,4.981,28.376,0
12.031,6.519,3.062,35.265,0
13.504,8.222,5.15,27.889,0
15.717,4.559,2.7,37.851,0
9.002,7.882,2.319,28.577,0
7.918,5.878,5.785,24.577,0
25.482,4.895,4.679,28.869,0
12.552,5.465,4.057,59.364,0
19.085,4.954,4.178,43.839,0
9.37,5.281,3.996,43.688,0
10.651,4.587,5.338,25.67,0
14.637,4.836,7.392,29.045,0
12.949,6.806,5.233,36.068,0
19.385,4.924,4.228,30.953,0
33.395,11.1,8.156,42.827,0
31.656,6.129,4.203,66.725,0
13.158,12.887,32.104,48.066,0
35.618,7.174,8.507,65.991,0
16.981,14.601,11.464,62.105,0
21.411,8.041,3.862,73.666,0
24.752,8.003,10.379,54.844,0
12.356,6.163,6.498,61.706,0
22.872,13.883,4.938,42.182,0
14.995,5.041,10.547,62.115,0
16.228,7.283,10.138,68.794,0
17.092,7.344,10.895,51.06,0
10.912,6.203,4.578,57.05,0
19.94,7.012,6.48,34.53,0
18.258,5.133,6.189,41.821,0
16.104,5.355,5.497,47.263,0
19.348,6.532,4.996,37.699,0
18.894,5.38,5.481,41.727,0
11.251,6.955,13.286,48.774,0
10.315,4.858,9.636,65.868,0
9.727,5.027,4.219,54.605,0
8.088,5.414,2.883,31.087,0
12.474,5.088,3.773,33.902,0
8.832,4.851,3.614,38.301,0
16.172,4.995,3.853,34.902,0
14.191,6.457,3.576,42.536,0
10.413,5.192,4.015,46.235,0
24.063,10.118,12.817,44.459,0
11.939,7.909,5.611,61.393,0
18.228,8.445,9.243,44.294,0
12.879,5.88,6.968,50.039,0
17.696,7.335,4.679,49.229,0
14.726,5.061,3.495,44.748,0
22.492,5.26,8.435,38.493,0
17.439,5.271,3.735,47.673,0
17.268,4.751,3.379,42.021,0
13.649,7.777,5.035,36.415,0
23.62,5.429,4.86,36.269,0
19.617,9.745,6.853,49.036,0
13.34,6.747,3.565,66.915,0
26.985,6.929,5.694,43.065,0
18.79,5.355,3.624,52.581,0
16.748,4.712,3.465,50.561,0
18.281,5.806,3.183,52.929,0
14.215,4.817,4.573,49.634,0
17.341,5.36,4.856,39.609,0
14.935,4.913,3.107,51.77,0
22.595,5.29,4.878,43.548,0
20.212,7.139,4.278,55.196,0
21.338,4.855,5.598,60.293,0
17.947,5.353,5.085,45.664,0
15.831,8.188,3.158,42.802,0
17.497,8.302,3.681,37.279,0
12.186,6.23,7.66,40.194,0
20.201,8.056,6.329,40.805,0
13.281,6.803,5.548,49.083,0
20.832,5.793,4.313,41.833,0
15.338,6.507,4.277,42.533,0
17.774,6.434,3.474,43.009,0
11.378,8.432,3.675,54.334,0
